school,sex,paid,activities,famrel,freetime,goout,Dalc,Walc,health,absences,grade,G1,G2
GP,F,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,6,5.0,6.0
GP,F,no,no,5.0,3.0,3.0,1.0,1.0,3.0,4.0,5,5.0,5.0
GP,F,yes,no,4.0,3.0,2.0,2.0,3.0,3.0,10.0,8,7.0,8.0
GP,F,yes,yes,3.0,2.0,2.0,1.0,1.0,5.0,2.0,15,15.0,14.0
GP,F,yes,no,4.0,3.0,2.0,1.0,2.0,5.0,4.0,9,6.0,10.0
GP,M,yes,yes,5.0,4.0,2.0,1.0,2.0,5.0,10.0,15,15.0,15.0
GP,M,no,no,4.0,4.0,4.0,1.0,1.0,3.0,0.0,12,12.0,12.0
GP,F,no,no,4.0,1.0,4.0,1.0,1.0,1.0,6.0,6,6.0,5.0
GP,M,yes,no,4.0,2.0,2.0,1.0,1.0,1.0,0.0,18,16.0,18.0
GP,M,yes,yes,5.0,5.0,,1.0,1.0,5.0,0.0,15,14.0,15.0
GP,F,yes,no,3.0,3.0,3.0,1.0,2.0,2.0,0.0,9,10.0,8.0
GP,F,no,yes,5.0,2.0,2.0,1.0,1.0,4.0,4.0,11,10.0,12.0
GP,M,yes,yes,4.0,3.0,3.0,1.0,3.0,5.0,2.0,14,14.0,14.0
GP,M,yes,no,5.0,4.0,3.0,1.0,2.0,3.0,2.0,10,10.0,10.0
GP,M,no,no,,5.0,2.0,1.0,1.0,3.0,0.0,15,14.0,16.0
GP,F,no,no,4.0,4.0,4.0,1.0,2.0,2.0,,14,14.0,14.0
GP,F,yes,yes,3.0,2.0,3.0,1.0,2.0,2.0,6.0,14,13.0,14.0
GP,F,no,yes,5.0,3.0,2.0,1.0,1.0,4.0,4.0,9,8.0,10.0
GP,M,no,yes,5.0,5.0,5.0,2.0,4.0,5.0,16.0,5,6.0,5.0
GP,M,yes,yes,3.0,1.0,3.0,1.0,3.0,5.0,4.0,9,8.0,10.0
GP,M,no,no,4.0,4.0,1.0,1.0,1.0,1.0,0.0,14,13.0,14.0
GP,M,yes,no,5.0,4.0,2.0,1.0,1.0,5.0,0.0,14,12.0,15.0
GP,M,no,yes,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15,15.0,15.0
GP,M,no,yes,5.0,4.0,4.0,2.0,4.0,5.0,0.0,13,13.0,13.0
GP,F,yes,yes,4.0,3.0,2.0,1.0,1.0,5.0,2.0,9,10.0,9.0
GP,F,yes,no,1.0,2.0,2.0,1.0,,5.0,14.0,8,6.0,9.0
GP,M,yes,no,4.0,2.0,2.0,1.0,2.0,5.0,2.0,12,12.0,12.0
GP,M,yes,no,2.0,2.0,4.0,2.0,4.0,1.0,4.0,15,15.0,16.0
GP,M,no,yes,5.0,3.0,3.0,1.0,1.0,5.0,4.0,11,11.0,11.0
GP,M,yes,yes,4.0,4.0,5.0,5.0,5.0,5.0,16.0,11,10.0,12.0
GP,M,yes,no,5.0,4.0,2.0,3.0,4.0,5.0,0.0,11,9.0,11.0
GP,M,no,yes,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17,17.0,16.0
GP,M,no,yes,4.0,5.0,2.0,1.0,1.0,5.0,0.0,16,17.0,16.0
GP,M,no,yes,5.0,3.0,2.0,1.0,1.0,2.0,0.0,10,8.0,10.0
GP,M,yes,no,5.0,4.0,3.0,1.0,1.0,5.0,0.0,14,12.0,14.0
GP,F,no,yes,3.0,5.0,1.0,1.0,1.0,5.0,0.0,7,8.0,7.0
GP,M,no,yes,5.0,4.0,3.0,1.0,1.0,4.0,2.0,16,15.0,16.0
GP,M,no,yes,2.0,4.0,3.0,1.0,1.0,5.0,7.0,15,15.0,16.0
GP,F,yes,yes,4.0,3.0,2.0,1.0,1.0,5.0,2.0,12,12.0,12.0
GP,F,yes,yes,4.0,3.0,1.0,1.0,1.0,,8.0,13,14.0,13.0
GP,F,no,yes,3.0,3.0,,1.0,2.0,3.0,25.0,9,7.0,10.0
GP,M,no,no,5.0,4.0,3.0,2.0,4.0,5.0,8.0,12,12.0,12.0
GP,M,no,yes,4.0,3.0,3.0,1.0,1.0,5.0,2.0,18,19.0,18.0
GP,M,no,no,5.0,4.0,1.0,1.0,1.0,1.0,0.0,9,8.0,8.0
GP,F,no,yes,4.0,3.0,3.0,2.0,2.0,5.0,14.0,10,10.0,
GP,F,yes,yes,5.0,2.0,2.0,1.0,1.0,5.0,8.0,7,8.0,8.0
GP,F,no,no,2.0,3.0,5.0,1.0,4.0,3.0,12.0,11,11.0,12.0
GP,M,no,yes,4.0,2.0,2.0,1.0,1.0,2.0,4.0,19,19.0,19.0
GP,M,yes,no,4.0,3.0,3.0,2.0,2.0,5.0,2.0,15,15.0,15.0
GP,F,no,yes,4.0,4.0,4.0,1.0,1.0,,2.0,7,7.0,7.0
GP,F,yes,no,4.0,3.0,3.0,2.0,3.0,4.0,2.0,13,12.0,13.0
GP,F,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,12,11.0,13.0
GP,M,no,no,5.0,5.0,5.0,3.0,4.0,5.0,6.0,11,11.0,11.0
GP,F,yes,no,3.0,3.0,4.0,2.0,3.0,5.0,0.0,10,8.0,10.0
GP,F,yes,no,5.0,3.0,4.0,4.0,4.0,1.0,6.0,12,10.0,13.0
GP,F,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,8.0,9,8.0,9.0
GP,F,yes,yes,4.0,3.0,2.0,1.0,1.0,1.0,0.0,15,14.0,15.0
GP,M,no,yes,3.0,2.0,2.0,1.0,1.0,5.0,4.0,15,14.0,15.0
GP,M,no,yes,4.0,3.0,2.0,1.0,1.0,5.0,2.0,9,9.0,10.0
